epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.99168,1.45821,3.47205,1.63047,0.01167,0.77559,0.06023,0.02578,1.25722,3.46759,1.57824,2.222e-05,2.222e-05,2.222e-05
2,11.0119,1.43828,3.44227,1.60134,0.01277,0.82624,0.11242,0.04433,1.18378,3.39663,1.4721,5.37169e-05,5.37169e-05,5.37169e-05
3,15.881,1.27852,3.47924,1.44098,0.01423,0.8965,0.18447,0.0934,1.04912,3.31317,1.32527,8.30139e-05,8.30139e-05,8.30139e-05
4,20.7452,1.19258,3.39326,1.42705,0.01471,0.90559,0.20718,0.12134,1.04693,3.27145,1.2752,0.000110111,0.000110111,0.000110111
5,25.5956,1.20723,3.33102,1.37183,0.01564,0.90559,0.2639,0.14281,1.06605,3.23868,1.24517,0.000135009,0.000135009,0.000135009
6,30.4576,1.11288,3.28743,1.34244,0.0157,0.90559,0.29314,0.1632,1.07417,3.23466,1.25803,0.000157706,0.000157706,0.000157706
7,35.465,1.18707,3.27789,1.39553,0.01503,0.88741,0.30942,0.1749,1.0671,3.23705,1.25495,0.000178204,0.000178204,0.000178204
8,40.3401,1.11474,3.24482,1.33085,0.01471,0.88741,0.31458,0.17956,1.05426,3.22669,1.24389,0.000196503,0.000196503,0.000196503
9,45.1758,1.12467,3.17492,1.35013,0.01443,0.8965,0.32345,0.18308,0.99725,3.22085,1.23016,0.000212601,0.000212601,0.000212601
10,49.967,1.1051,3.14887,1.30157,0.01406,0.8965,0.32432,0.18631,0.9921,3.21415,1.2226,0.0002265,0.0002265,0.0002265
11,54.8184,1.07992,3.13541,1.28162,0.01357,0.90559,0.34515,0.22251,0.98265,3.19056,1.20629,0.000238198,0.000238198,0.000238198
12,59.6635,1.00221,3.07868,1.23758,0.01341,0.91469,0.34804,0.22564,0.97337,3.17988,1.19103,0.000247697,0.000247697,0.000247697
13,64.4968,1.05159,2.98593,1.25626,0.01356,0.93007,0.35611,0.21459,0.95459,3.1682,1.20468,0.000254997,0.000254997,0.000254997
14,69.3199,1.02697,2.94295,1.26093,0.01352,0.93007,0.36696,0.23204,0.94564,3.1535,1.2055,0.000260096,0.000260096,0.000260096
15,74.0985,1.04407,2.91234,1.2375,0.01344,0.92098,0.42946,0.25952,0.93004,3.13401,1.19973,0.000262996,0.000262996,0.000262996
16,78.9788,1.08516,2.8658,1.31393,0.01359,0.93916,0.42674,0.26575,0.92115,3.12202,1.18876,0.000263696,0.000263696,0.000263696
17,83.9004,1.02626,2.78303,1.2573,0.0135,0.93007,0.42532,0.27393,0.91979,3.0974,1.18292,0.000262196,0.000262196,0.000262196
18,88.8072,0.97261,2.63302,1.22711,0.01354,0.93916,0.44106,0.28427,0.92409,3.07791,1.19546,0.000258496,0.000258496,0.000258496
19,93.7675,1.02264,2.65927,1.2638,0.01346,0.93916,0.44244,0.28857,0.91681,3.05225,1.19626,0.000252597,0.000252597,0.000252597
20,98.5747,1.15405,2.62628,1.3513,0.01337,0.93916,0.44563,0.28907,0.9471,3.03004,1.22483,0.000244498,0.000244498,0.000244498
21,103.389,0.99326,2.36347,1.2376,0.01353,0.93916,0.43363,0.28865,0.94835,3.00774,1.25357,0.000234199,0.000234199,0.000234199
22,108.117,0.93607,2.43851,1.2118,0.01408,0.94825,0.47292,0.31283,0.93803,2.97183,1.26009,0.0002217,0.0002217,0.0002217
23,112.824,0.89548,2.26209,1.18272,0.01809,0.93916,0.47894,0.32643,0.93918,2.92972,1.26003,0.000207002,0.000207002,0.000207002
24,117.51,0.91575,2.19901,1.22524,1,0.1179,0.48947,0.33298,0.95111,2.89142,1.27352,0.000190103,0.000190103,0.000190103
25,122.224,0.8936,2.17432,1.20807,1,0.09877,0.49791,0.33688,0.96412,2.84629,1.27123,0.000171005,0.000171005,0.000171005
26,126.946,0.92791,2.11639,1.21077,1,0.1721,0.49976,0.34192,0.96132,2.79625,1.26004,0.000149707,0.000149707,0.000149707
27,131.659,0.84888,2.14213,1.17766,0.9943,0.2116,0.51586,0.35548,0.96378,2.75153,1.26261,0.00012621,0.00012621,0.00012621
28,136.34,0.87461,2.03765,1.19669,0.91809,0.23125,0.53494,0.37106,0.96218,2.70486,1.26378,0.000100512,0.000100512,0.000100512
29,141.008,0.8346,2.04985,1.16623,0.91809,0.23125,0.53494,0.37106,0.96218,2.70486,1.26378,7.2615e-05,7.2615e-05,7.2615e-05
30,145.764,0.81768,2.06761,1.15377,0.91551,0.28444,0.54733,0.37686,0.94174,2.66001,1.24832,4.2518e-05,4.2518e-05,4.2518e-05
