epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.501,1.44459,3.37222,1.77081,0.03722,0.55789,0.07115,0.02677,1.09463,3.48259,1.60873,5.555e-05,5.555e-05,5.555e-05
2,25.1906,1.34877,3.31168,1.64118,0.08414,0.5756,0.10517,0.05955,0.99225,3.44071,1.48907,0.000121,0.000121,0.000121
3,36.9576,1.13835,3.27645,1.44472,0.10698,0.62823,0.15222,0.0929,1.1037,3.43486,1.49643,0.00018513,0.00018513,0.00018513
4,48.6033,1.13332,3.27161,1.51726,0.11705,0.73254,0.18808,0.09759,1.13589,3.44252,1.49478,0.000247941,0.000247941,0.000247941
5,60.1569,1.15493,3.19488,1.50168,0.0949,0.87321,0.22392,0.11158,1.15763,3.44309,1.53643,0.000309431,0.000309431,0.000309431
6,71.9154,1.09992,3.10411,1.45603,0.06134,0.93971,0.31408,0.14498,1.17626,3.42613,1.55673,0.000369602,0.000369602,0.000369602
7,83.8466,1.09363,3.05439,1.48246,0.03781,0.97895,0.34191,0.15754,1.19594,3.36648,1.57765,0.000428453,0.000428453,0.000428453
8,95.4569,1.11688,2.98462,1.44396,0.03194,0.97409,0.30251,0.13453,1.32531,3.36596,1.69134,0.000485984,0.000485984,0.000485984
9,107.097,1.16563,2.91667,1.54226,0.03075,0.97409,0.32712,0.14435,1.37233,3.34824,1.7694,0.000542195,0.000542195,0.000542195
10,118.692,1.16998,2.82705,1.48406,0.41537,0.11429,0.26003,0.13254,1.29849,3.25181,1.73652,0.000597086,0.000597086,0.000597086
11,130.321,1.14628,2.70829,1.46661,0.63019,0.17764,0.32521,0.18687,1.27358,3.07972,1.68726,0.000650657,0.000650657,0.000650657
12,141.997,1.04068,2.60604,1.39556,0.97614,0.09212,0.36449,0.21806,1.32463,2.90939,1.71449,0.000702909,0.000702909,0.000702909
13,153.73,1.15764,2.5271,1.47719,0.93714,0.13589,0.31027,0.18821,1.2953,2.74973,1.71576,0.00075384,0.00075384,0.00075384
14,165.574,1.0991,2.43653,1.45101,0.56689,0.21914,0.30463,0.1905,1.24713,2.57545,1.71193,0.000803452,0.000803452,0.000803452
15,177.231,1.147,2.35188,1.42621,0.56689,0.21914,0.30463,0.1905,1.24713,2.57545,1.71193,0.000851744,0.000851744,0.000851744
16,188.836,1.15192,2.33212,1.52902,0.30366,0.25227,0.33813,0.20524,1.28863,2.39034,1.75916,0.000898716,0.000898716,0.000898716
